MeSH_ClassX;precision;recall;f1-score;support
Serotonin 5-HT1 Receptor Antagonists;0.00;0.00;0.00;36.00
Cyclooxygenase 2 Inhibitors;0.00;0.00;0.00;28.80
Antibiotics, Antineoplastic;0.00;0.00;0.00;27.00
Anticoagulants;0.00;0.00;0.00;27.00
Antineoplastic Agents, Alkylating;0.00;0.00;0.00;27.00
Indicators and Reagents;0.00;0.00;0.00;27.00
Adrenergic Uptake Inhibitors;0.00;0.00;0.00;24.00
Appetite Depressants;0.00;0.00;0.00;24.00
Cholagogues and Choleretics;0.00;0.00;0.00;24.00
Monoamine Oxidase Inhibitors;0.00;0.00;0.00;24.00
Antidiarrheals;0.00;0.00;0.00;21.60
Antipruritics;0.00;0.00;0.00;21.60
Estrogens;0.00;0.00;0.00;21.60
Histamine H1 Antagonists, Non-Sedating;0.00;0.00;0.00;21.60
Mutagens;0.00;0.00;0.00;21.60
Neurotoxins;0.00;0.00;0.00;21.60
Nootropic Agents;0.00;0.00;0.00;21.60
Phosphodiesterase Inhibitors;0.00;0.00;0.00;21.60
Protein Kinase Inhibitors;0.00;0.00;0.00;21.60
Urological Agents;0.00;0.00;0.00;21.60
Analgesics;0.00;0.00;0.00;18.00
Anticarcinogenic Agents;0.00;0.00;0.00;18.00
Antitrichomonal Agents;0.00;0.00;0.00;18.00
Contraceptive Agents, Hormonal;0.00;0.00;0.00;18.00
Contraceptives, Oral, Synthetic;0.00;0.00;0.00;18.00
Cysteine Proteinase Inhibitors;0.00;0.00;0.00;18.00
Cytochrome P-450 CYP2D6 Inhibitors;0.00;0.00;0.00;18.00
Narcotic Antagonists;0.00;0.00;0.00;18.00
Ophthalmic Solutions;0.00;0.00;0.00;18.00
Protein Synthesis Inhibitors;0.00;0.00;0.00;18.00
Purinergic P2Y Receptor Antagonists;0.00;0.00;0.00;18.00
Radiation-Sensitizing Agents;0.00;0.00;0.00;18.00
Schistosomicides;0.00;0.00;0.00;18.00
Serotonin and Noradrenaline Reuptake Inhibitors;0.00;0.00;0.00;18.00
Tocolytic Agents;0.00;0.00;0.00;18.00
Angiotensin-Converting Enzyme Inhibitors;0.00;0.00;0.00;14.40
Anti-Dyskinesia Agents;0.00;0.00;0.00;14.40
Anti-HIV Agents;0.00;0.00;0.00;14.40
Cathartics;0.00;0.00;0.00;14.40
Contraceptive Agents, Male;0.00;0.00;0.00;14.40
Epithelial Sodium Channel Blockers;0.00;0.00;0.00;14.40
Mydriatics;0.00;0.00;0.00;14.40
Nitric Oxide Donors;0.00;0.00;0.00;14.40
Phosphodiesterase 5 Inhibitors;0.00;0.00;0.00;14.40
Potassium Channel Blockers;0.00;0.00;0.00;14.40
Proton Pump Inhibitors;0.00;0.00;0.00;14.40
Sympatholytics;0.00;0.00;0.00;14.40
Topoisomerase II Inhibitors;0.00;0.00;0.00;14.40
Vitamin B Complex;0.00;0.00;0.00;14.40
Adenosine A1 Receptor Antagonists;0.00;0.00;0.00;12.00
Adjuvants, Anesthesia;0.00;0.00;0.00;12.00
Adrenergic Agonists;0.00;0.00;0.00;12.00
Alcohol Deterrents;0.00;0.00;0.00;12.00
Alkylating Agents;0.00;0.00;0.00;12.00
Antibiotics, Antitubercular;0.00;0.00;0.00;12.00
Anticestodal Agents;0.00;0.00;0.00;12.00
Antithyroid Agents;0.00;0.00;0.00;12.00
Bone Density Conservation Agents;0.00;0.00;0.00;12.00
Cardiovascular Agents;0.00;0.00;0.00;12.00
Coloring Agents;0.00;0.00;0.00;12.00
Contraceptives, Oral, Hormonal;0.00;0.00;0.00;12.00
Dipeptidyl-Peptidase IV Inhibitors;0.00;0.00;0.00;12.00
Dopamine D2 Receptor Antagonists;0.00;0.00;0.00;12.00
Emetics;0.00;0.00;0.00;12.00
Filaricides;0.00;0.00;0.00;12.00
GABA-B Receptor Agonists;0.00;0.00;0.00;12.00
Gout Suppressants;0.00;0.00;0.00;12.00
Nicotinic Agonists;0.00;0.00;0.00;12.00
Photosensitizing Agents;0.00;0.00;0.00;12.00
Proton Ionophores;0.00;0.00;0.00;12.00
Radiation-Protective Agents;0.00;0.00;0.00;12.00
Siderophores;0.00;0.00;0.00;12.00
Tranquilizing Agents;0.00;0.00;0.00;12.00
Trypanocidal Agents;0.00;0.00;0.00;12.00
Analgesics, Opioid;0.00;0.00;0.00;9.00
Androgen Antagonists;0.00;0.00;0.00;9.00
Anesthetics;0.00;0.00;0.00;9.00
Anti-Infective Agents, Local;0.00;0.00;0.00;9.00
Antimetabolites;0.00;0.00;0.00;9.00
Antitubercular Agents;0.00;0.00;0.00;9.00
Aromatase Inhibitors;0.00;0.00;0.00;9.00
Aromatic Amino Acid Decarboxylase Inhibitors;0.00;0.00;0.00;9.00
Catechol O-Methyltransferase Inhibitors;0.00;0.00;0.00;9.00
Central Nervous System Agents;0.00;0.00;0.00;9.00
Chelating Agents;0.00;0.00;0.00;9.00
Cholinergic Agonists;0.00;0.00;0.00;9.00
Contrast Media;0.00;0.00;0.00;9.00
Cytochrome P-450 CYP1A2 Inducers;0.00;0.00;0.00;9.00
Dermatologic Agents;0.00;0.00;0.00;9.00
Estrogens, Non-Steroidal;0.00;0.00;0.00;9.00
Fatty Acid Synthesis Inhibitors;0.00;0.00;0.00;9.00
Fluorescent Dyes;0.00;0.00;0.00;9.00
Free Radical Scavengers;0.00;0.00;0.00;9.00
GABA-A Receptor Agonists;0.00;0.00;0.00;9.00
Gastrointestinal Agents;0.00;0.00;0.00;9.00
HIV Protease Inhibitors;0.00;0.00;0.00;9.00
Histamine H2 Antagonists;0.00;0.00;0.00;9.00
Hypnotics and Sedatives;0.00;0.00;0.00;9.00
Immunosuppressive Agents;0.00;0.00;0.00;9.00
Leprostatic Agents;0.00;0.00;0.00;9.00
Mineralocorticoid Receptor Antagonists;0.00;0.00;0.00;9.00
Muscarinic Agonists;0.00;0.00;0.00;9.00
Neuromuscular Agents;0.00;0.00;0.00;9.00
Neuromuscular Depolarizing Agents;0.00;0.00;0.00;9.00
Neurosteroids;0.00;0.00;0.00;9.00
Nucleic Acid Synthesis Inhibitors;0.00;0.00;0.00;9.00
Poly(ADP-ribose) Polymerase Inhibitors;0.00;0.00;0.00;9.00
Serotonin Uptake Inhibitors;0.00;0.00;0.00;9.00
Vasoconstrictor Agents;0.00;0.00;0.00;9.00
5-alpha Reductase Inhibitors;0.00;0.00;0.00;7.20
Acetaldehyde Dehydrogenase Inhibitors;0.00;0.00;0.00;7.20
Adrenergic beta-2 Receptor Agonists;0.00;0.00;0.00;7.20
Anesthetics, Intravenous;0.00;0.00;0.00;7.20
Angiogenesis Inhibitors;0.00;0.00;0.00;7.20
Anti-Asthmatic Agents;0.00;0.00;0.00;7.20
Cross-Linking Reagents;0.00;0.00;0.00;7.20
Cytochrome P-450 CYP1A2 Inhibitors;0.00;0.00;0.00;7.20
Disinfectants;0.00;0.00;0.00;7.20
GABA Modulators;0.00;0.00;0.00;7.20
Ganglionic Stimulants;0.00;0.00;0.00;7.20
Hydroxymethylglutaryl-CoA Reductase Inhibitors;0.00;0.00;0.00;7.20
Leukotriene Antagonists;0.00;0.00;0.00;7.20
Plasticizers;0.00;0.00;0.00;7.20
Protective Agents;0.00;0.00;0.00;7.20
Sodium Channel Blockers;0.00;0.00;0.00;7.20
Sodium Potassium Chloride Symporter Inhibitors;0.00;0.00;0.00;7.20
